pid,label,artist,_date,location,order,layout,collection,thumbnail,full,manifest
obj1,Annie John,Jamaica Kincaid,1983,Antigua,00,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,Breath Eyes Memory,Edwidge Danticat,1994,Haiti,01,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj3,The Dragon Can't Dance,Earl Lovelace,1979,Trinidad,02,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj4,No Telephone To Heaven,Michelle Cliff,1983,Jamaica,03,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
obj5,Wide Sargasso Sea,Jean Rhys,1966,Dominica,04,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json
obj6,Crossing the Mangrove,Maryse Condé,1987,Guadeloupe,05,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json
obj7,Angel,Merle Collins,1987,Grenada,06,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json
obj8,In the Castle of My Skin,George Lamming,1979,Barbados,07,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json
obj9,Dream on Monkey Mountain,Derek Walcott,1970,St Lucia,08,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json
obj10,A Tempest,Aime Cesaire,1977,Martinique,09,caribbeanbooksexhibit_item,caribbeanbooksexhibit,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json
